,calories,carbs,description,fat,ingredients,protein,rating,reviews,title
10,403kcal,50.5g,&#34;Prepared pepper and onion relish adds a zesty richness to the flavor of this white chicken chili.&#34;,11.6g,"[""1 (8.75 ounce) jar Dickinson's&#174; Sweet 'n' Hot Pepper & Onion Relish"", '2 boneless skinless chicken breasts, cooked and cut into 1/2-inch pieces', '1 (48 ounce) jar white beans, undrained', '16 ounces chicken broth', '2 cups shredded mozzarella cheese', '1 cup sour cream']",24.6g,0.00,0,Zesty White Chicken Chili Recipe - Allrecipes.com
11,240kcal,24.4g,"&#34;A basic but tasty chili recipe that you can keep mild or season to a fire-hot! A great dinner, game day meal, or perfect when watching political debates. Add as a side rice or cornbread, Fritos&#174; or crackers, and definitely grated cheese, and you'll have a winner. (Blue ribbon chili cook-off winner.)&#34;",7.2g,"['1 pound ground beef', '1 cup chopped onion', '2 cloves garlic, minced', '2 (16 ounce) cans diced tomatoes', '1 cup beef broth', '1 (4 ounce) can diced green chiles', '3/4 tablespoon chili powder', '1 tablespoon brown sugar', '2 teaspoons dried oregano', '1 teaspoon ground cumin', '1/2 teaspoon salt', '2 (15 ounce) cans ranch-style beans']",17.1g,4.63,13,Presidential Debate Chili Recipe - Allrecipes.com
12,239kcal,26.1g,&#34;Chili from a man's point of view.  Not for the faint-hearted.  May modify Salsa heat and pepper to taste buds.  I have to accommodate the females in my family.  Serve with Italian bread.&#34;,8.6g,"['1 pound lean ground beef', '1 onion, chopped', '3 stalks celery, diced', '1 green bell pepper, chopped', '3 (14.5 ounce) cans peeled and diced tomatoes', '2 (15 ounce) cans dark red kidney beans', '1 (15 ounce) can light red kidney beans', '1 (16 ounce) jar hot salsa', '4 teaspoons white sugar', '1/2 teaspoon cayenne pepper', '2 tablespoons chili powder', '1 1/2 teaspoons dried basil', '1 1/2 teaspoons dried oregano']",14.3g,2.08,10,Miner's Chili Recipe - Allrecipes.com
13,261kcal,36.4g,&#34;Meatless chili you'd never know wasn't carnivorous!!  Double the recipe and freeze leftovers for sure.&#34;,10.3g,"['1/3 cup olive oil', '2 cups chopped onion', '3/4 cup chopped celery', '1 cup chopped green bell pepper', '1 cup chopped carrots', '1 tablespoon minced garlic', '2 cups chopped mushrooms', '1/4 teaspoon crushed red pepper flakes', '1 tablespoon ground cumin', '2 tablespoons chili powder', '3/4 teaspoon dried basil', '2 teaspoons salt', '1/2 teaspoon ground black pepper', '2 cups tomato juice', '3/4 cup bulgur wheat', '2 cups chopped tomatoes', '1 (20 ounce) can kidney beans, undrained', '1/2 teaspoon hot pepper sauce (such as Tabasco&#174;)', '2 tablespoons lemon juice', '3 tablespoons tomato paste', '1 tablespoon Worcestershire sauce', '1/4 cup dry red wine', '2 tablespoons canned chopped green chile peppers, or to taste']",8.5g,4.65,19,Lucie's Vegetarian Chili Recipe - Allrecipes.com
14,482kcal,27.9g,"&#34;This is the easiest chili recipe, and it is delicious and sure to please everyone. Using home canned tomatoes gives the best flavor, but is not necessary.  Enjoy.&#34;",31.2g,"['2 pounds ground beef', '2 onions, chopped', '4 cloves garlic, minced', '2 tablespoons chili powder', '2 teaspoons salt', '2 teaspoons dried oregano', '4 (14.5 ounce) cans stewed tomatoes', '1 (15 ounce) can tomato sauce', '1 (15 ounce) can kidney beans with liquid']",24.9g,4.60,731,My Chili Recipe - Allrecipes.com
15,439kcal,36.7g,&#34;I make this recipe for football Sunday afternoons. It is highly requested at all family events. Always gets first place at chili cookoffs. The most sought-after dish at potlucks. Enjoy!&#34;,24g,"['1 (2 to 3 pound) whole chicken', '6 cups water, or as needed to cover', '3 (15.5 ounce) cans white beans, drained', '2 (15.5 ounce) cans hominy, drained', '1 large onion, chopped', '2 (4 ounce) cans chopped green chiles', '3 cloves garlic, minced', '2 teaspoons ground cumin', '1 teaspoon dried oregano, or more to taste', '2 cubes chicken bouillon, or more to taste', '1 (8 ounce) package shredded Monterey Jack cheese']",22.3g,4.00,3,Award Winning Chicken Chili Recipe - Allrecipes.com
16,386kcal,39.2g,&#34;A light chili made with ground turkey breast is served with cheesy corn fritters for a tasty meal everybody will love.&#34;,12.7g,"['1 pound ground turkey breast*', '1 cup chopped onion', '1 cup chopped red bell pepper', '2 cloves garlic, minced', '2 (14.5 ounce) cans Del Monte&#174; Chili Style Diced Tomatoes, undrained', '1 cup water', '1/2 teaspoon ground cumin', '1 (14.5 ounce) can Del Monte&#174; Cut Green Beans, drained', 'Cheesy Corn Fritters:', '1 (8.5 ounce) package corn muffin mix', '1 large egg, beaten', '2/3 cup milk', '1 (8.75 ounce) can Del Monte&#174; Whole Kernel Corn, drained', '1/3 cup shredded Monterey jack cheese with jalapeno peppers', '2 tablespoons vegetable oil']",27.6g,4.00,3,Turkey Green Bean Chili with Cheesy Corn Fritters Recipe - Allrecipes.com
17,412kcal,47.4g,&#34;A fantastic chili that builds up in heat as you eat. Perfect for football. I won a chili cook off with this recipe. I make it in this size batch so I can freeze the leftovers. A friend gave me this recipe over 10 years ago and I have tweaked it over time. Serve with shredded cheese and/or oyster crackers. It is also good over pasta.&#34;,15g,"['2 pounds lean ground beef', '2 green bell pepper, diced', '1 large sweet onion, diced', '1 (46 fluid ounce) can tomato juice', '3 (14 ounce) cans mild chili beans (such as Brooks&#174;)', '2 (14 ounce) cans hot chili beans (such as Brooks&#174;)', '1 (12 fluid ounce) can or bottle dark beer', '6 tablespoons chili powder', '1 tablespoon garlic salt', '1 tablespoon white vinegar', '1 teaspoon ground allspice', '1 teaspoon red pepper flakes', '3 bay leaves']",28.6g,3.83,5,Football Chili Recipe - Allrecipes.com
18,660kcal,47g,"&#34;This was given to me by a good friend. My daughter had eaten it at my friend's house and came home raving about it! So I had to try it. She was right, it is delicious!&#34;",33.8g,"['3 (15 ounce) cans great Northern beans, rinsed and drained', '2 pounds cubed cooked chicken breast', '1 (16 ounce) jar Alfredo sauce', '1 (14.5 ounce) can chicken broth', '2 (4 ounce) cans chopped green chilies', '1 (15.25 ounce) can yellow corn, drained', '1 (15.25 ounce) can white corn, drained', '1 cup shredded Monterey Jack cheese', '1 cup shredded pepperjack cheese', '1 cup sour cream', '1 tablespoon ground cumin', '1 teaspoon minced garlic', '1/2 teaspoon ground white pepper', '1/4 teaspoon cayenne pepper']",45.3g,4.50,5,Cheesy Slow Cooker White Chili Recipe - Allrecipes.com
19,311kcal,30.9g,"&#34;This has Morning Star Farms&#174; Meal Starters, salsa, corn, great Northern beans, and jalapeno pepper Cheddar cheese. Puree one of the can of beans to thicken. It is very tasty and a little spicy.&#34;",10.6g,"['1 (12 ounce) package vegetarian ground beef crumbles (such as MorningStar Farms&#174; Recipe Crumbles&#174;)', '2 (14 ounce) cans great Northern beans, rinsed and drained, divided', '1 cup beef broth', '1 cup medium salsa', '1 cup frozen corn kernels', '4 ounces jalapeno pepper Cheddar cheese, cut into cubes', '4 ounces Cheddar cheese, cut into cubes']",25.8g,0.00,0,Simple White Chili Recipe - Allrecipes.com
20,363kcal,26.5g,"&#34;This hearty beef chili with green peppers, kidney beans, and chili powder is ready to serve in half an hour.&#34;",14.9g,"['1 pound lean ground beef', '1 (8 ounce) bag Birds Eye&#174; Recipe Ready Chopped Green Peppers & Onions', '1 (15.5 ounce) can red kidney beans, rinsed and drained', '1 (14.5 ounce) can diced tomatoes', '2 tablespoons chili powder', '1/4 teaspoon salt', '1/2 teaspoon dried oregano (optional)']",28.9g,3.60,4,Easiest Ever Chili Recipe - Allrecipes.com
21,347kcal,26.6g,"&#34;This is my favorite chili and the only chili my kids will eat! Enjoy with crackers, corn bread, and ice cold beer.&#34;",17.6g,"['2 (15 ounce) cans kidney beans', '1 (16 ounce) can chili beans', '1 (14.5 ounce) can diced tomatoes', '1/2 sweet onion, chopped', '1 (6 ounce) can tomato paste', '1 pound ground beef', '1 pound ground sausgae', '1 pinch ground cumin, or more to taste', '1 pinch garlic salt, or more to taste', '1 pinch chili powder, or more to taste']",21.8g,0.00,0,Dad's Sunday Chili Recipe - Allrecipes.com
22,448kcal,37.4g,&#34;Red Cooking Wine is the secret ingredient in this classic chili recipe.&#34;,19g,"['2 pounds ground beef', '2 cups chopped onions', '2 garlic cloves, minced', '2 (28 ounce) cans tomatoes, undrained, cut up', '2 (15 ounce) cans tomato sauce', '1 1/2 cups Holland House&#174; Red Cooking Wine', '6 teaspoons chili powder', '2 teaspoons cumin', '1 green bell pepper, chopped', '2 (15.5 ounce) cans kidney beans, drained']",28.5g,4.25,3,Hearty Chili Recipe - Allrecipes.com
23,396kcal,39.3g,&#34;A ton of chili that is easy to make.&#34;,15.1g,"['3 pounds ground beef', '1 large onion, chopped', '1 medium head garlic, peeled and chopped', '1 cup dry black beans', '1 cup dry kidney beans', '1 cup dry pinto beans', '2 (28 ounce) cans diced tomatoes, drained', '3 cups tomato paste', '1 (8 ounce) can tomato sauce', '2 tablespoons chili powder, or to taste', '1 teaspoon hot pepper sauce, or to taste', 'salt and pepper to taste']",26.9g,3.57,4,Easy Chili III Recipe - Allrecipes.com
24,304kcal,16.2g,"&#34;Hold out mushrooms and bean sprouts until the last, and heat through for tender meat, firmer veggies, and better flavor.&#34;",14.9g,"['1 teaspoon vegetable oil', '2 pounds pork shoulder, cubed', '1 pound boneless beef round steak, cubed', '2 large green bell peppers, chopped', '2 large onions, chopped', '2 small stalks celery, diced', '4 cups beef broth', '1 (8 ounce) can sliced bamboo shoots, drained', '1 (8 ounce) can sliced water chestnuts, drained', '1 teaspoon ground black pepper', '2 tablespoons chili powder, or to taste', '1/2 cup soy sauce', '3 tablespoons cornstarch', '8 sliced fresh mushrooms', '1 cup fresh bean sprouts']",26.8g,0.00,0,Chinese Chili Recipe - Allrecipes.com
25,316kcal,26.5g,&#34;This is delicious on a cold wintry day.  Add fresh cornbread and salad for a great meal.&#34;,16.2g,"['2 tablespoons vegetable oil', '1 pound lean ground beef', '1 cup chopped onion', '2 cloves garlic, chopped', '2 (15 ounce) cans kidney beans', '1 (28 ounce) can crushed tomatoes', '2 tablespoons chili powder', '1 tablespoon distilled white vinegar', 'salt to taste', 'ground black pepper to taste']",17.8g,4.54,124,Chili I Recipe - Allrecipes.com
26,394kcal,48.8g,&#34;Easy homemade chili. Goes great with cornbread or over corn chips for a chili pie! I like to use spicy pinto beans.&#34;,9.2g,"['1 pound ground beef', '1 onion, chopped', '1 (14.5 ounce) can stewed tomatoes', '1 (15 ounce) can tomato sauce', '1 (15 ounce) can kidney beans', '1 1/2 cups water', '1 pinch chili powder', '1 pinch garlic powder', 'salt and pepper to taste']",30.6g,4.25,227,Easy Homemade Chili Recipe - Allrecipes.com
27,316kcal,55.5g,&#34;This is a vegetarian version with added pasta for those pasta lovers. I love the taste of the cumin in this recipe.&#34;,4.4g,"['2 cups whole wheat elbow macaroni', '2 teaspoons olive oil', '1 small onion, chopped', '2 green bell peppers, chopped', '2 cloves garlic, minced', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (8 ounce) can tomato sauce', '1 tablespoon hot pepper sauce, or to taste', '2 teaspoons chili powder, or more to taste', '1 teaspoon ground cumin', '1/4 teaspoon cayenne pepper', '1/4 teaspoon ground black pepper', '1 (15 ounce) can white kidney beans, drained and rinsed', '1 (15 ounce) can black beans, drained and rinsed', '1 (12 ounce) can whole kernel corn, drained', '3/4 cup shredded reduced-fat Cheddar cheese', '2 tablespoons chopped green onion, or to taste (optional)']",17.5g,4.50,3,Carole's Chili Mac Recipe - Allrecipes.com
28,389kcal,41.4g,"&#34;Every time I make this chili, people beg for the recipe. My husband wants this made at least once a month. It is delicious topped with shredded Cheddar cheese and sour cream.&#34;",11.5g,"['2 pounds ground beef', '4 (14.5 ounce) cans kidney beans', '4 (15 ounce) cans diced tomatoes', '1 (12 fluid ounce) bottle beer', '1 (12 ounce) bottle tomato-based chili sauce', '1 large white onion, chopped', '6 cloves garlic, minced', '2 tablespoons chili seasoning', '1 teaspoon black pepper', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon cayenne pepper', '1/2 teaspoon oregano', '1/4 cup sugar', '1 teaspoon hot sauce', '1 teaspoon Worcestershire sauce']",26.3g,4.16,47,Sharon's Awesome Chicago Chili Recipe - Allrecipes.com
29,281kcal,45g,"&#34;This makes for a pleasant alternative to your standard chili. It's also much lower in fat and has no meat! Enjoy! This recipe is from the WEBB Cooks, articles and recipes by Robyn Webb, courtesy of the American Diabetes Association. Preparation time: 15 minutes.&#34;",6.1g,"['2 tablespoons vegetable oil', '1 onion, chopped', '4 cloves garlic, minced', '1 cup dry lentils', '1 cup dry bulgur wheat', '3 cups low fat, low sodium chicken broth', '2 cups canned whole tomatoes, chopped', '2 tablespoons chili powder', '1 tablespoon ground cumin', 'salt and pepper to taste']",13.8g,4.34,62,Lentil Chili Recipe - Allrecipes.com
30,146kcal,13.4g,"&#34;This chili is so good. We like it on vegetarian hotdogs, or you can add red beans and eat with saltine crackers.&#34;",4.4g,"['1 (12 ounce) package vegetarian burger crumbles', '1 (15 ounce) can tomato sauce', '1 cup water', '1 small onion, chopped', '3 cloves garlic, minced', '1 tablespoon vegetarian Worcestershire sauce', '1 teaspoon liquid smoke flavoring', '2 teaspoons chili powder', '1/8 teaspoon black pepper', '1 teaspoon dry mustard', '1 teaspoon salt', '1/8 teaspoon red pepper flakes']",14.7g,4.24,15,Vegan Chili Recipe - Allrecipes.com
31,340kcal,32.2g,&#34;Set your chipotle heat level to mild or medium in this no-fuss ground beef and black bean slow-cooker chili. Then tame the spicy hotness with a cool lime crema topped with juicy chopped mango.&#34;,10.8g,"['1 1/2 pounds lean ground beef', '1 cup chopped onion', '3 cloves garlic, minced', '2 (15 ounce) cans black beans, rinsed and drained', '2 (14.5 ounce) cans fire-roasted diced tomatoes', '1 cup chopped yellow or red sweet pepper', '1 cup water', '1/2 teaspoon ground dried chipotle pepper, or more to taste', '1 fresh mango, peeled, seeded, and chopped', 'Lime Crema:', '2 (5.3 ounce) containers VOSKOS&#174; Nonfat Honey Greek Yogurt', '2 teaspoons grated lime zest', '2 tablespoons lime juice']",27.9g,0.00,0,Beef and Black Bean Chili with Lime Crema Recipe - Allrecipes.com
32,219kcal,29.8g,"&#34;This spicy chili recipe uses ground buffalo. To step up the heat, use different peppers and experiment with the seasonings. This gets even better if you let it sit overnight. The chili is so good you'll need to find another way to use up your cheese and crackers.&#34;",2.8g,"['1 pound ground buffalo', '1/2 teaspoon ground cumin', '1 pinch cayenne pepper, or to taste', '1 (10 ounce) can diced tomatoes with green chiles', '1 (10.75 ounce) can tomato soup', '1 (14.5 ounce) can kidney beans, drained', '1 (15 ounce) can chili beans, drained', '1/2 medium onion, chopped', '1/2 teaspoon minced garlic', '1 Anaheim chile pepper, chopped', '1 poblano chile pepper, chopped', '2 tablespoons chili powder', '1 teaspoon red pepper flakes', '1 1/2 teaspoons ground cumin', '1/2 teaspoon cayenne pepper', 'salt and ground black pepper to taste']",22.3g,4.72,33,Colorado Buffalo Chili Recipe - Allrecipes.com
33,427kcal,80.1g,&#34;Wonderful twist for Halloween season or entertaining. The mix of sweet and spicy will amaze your taste buds!&#34;,3.5g,"['1 pound dry black beans', 'cold water, or as needed', '1/2 cup lentils', '2 tablespoons dry roux mix', '1 green bell pepper, diced', '1 (10.75 ounce) can  condensed tomato soup', '1 cup pumpkin puree', '1 (1.25 ounce) package chili seasoning mix', '2 tablespoons white sugar', '1 tablespoon ground cinnamon', '1 teaspoon nutmeg', '1 teaspoon ground cloves', '1/2 teaspoon onion powder']",23.4g,4.00,1,Vegetarian Pumpkin Chili Recipe - Allrecipes.com
34,171kcal,14.9g,"&#34;This is a simple recipe for Texas chili I learned from my mother. I like my chili with a little fire to it, but you can adjust this recipe to your liking. This is a chili that only gets better the second day so don't worry about using a large pot and having more than your family can eat the first night because you can have it a couple of nights later. ENJOY. I know I do every time I make this chili.&#34;",7.3g,"['2 pounds lean ground beef', '1 large onion, diced', '1 large bell pepper, minced', '3 (15 ounce) cans pinto beans', '2 (28 ounce) cans diced tomatoes', '4 (8 ounce) cans tomato sauce', '3 jalapeno peppers, minced (optional)', '1/2 cup chili powder', '1 teaspoon crushed red pepper flakes', '1 teaspoon ground black pepper', '1/2 teaspoon salt', '1/4 teaspoon garlic powder']",11.9g,4.48,113,Easy Texas Chili Recipe - Allrecipes.com
35,155kcal,29g,"&#34;This chili is SO easy to make. You can pretty much throw whatever you have into the pot and it'll be great. (I added some leftover salsa once.) It's very colorful, not to mention delicious.&#34;",3g,"['1 tablespoon vegetable oil', '1 cup chopped onions', '3/4 cup chopped carrots', '3 cloves garlic, minced', '1 cup chopped green bell pepper', '1 cup chopped red bell pepper', '3/4 cup chopped celery', '1 tablespoon chili powder', '1 1/2 cups chopped fresh mushrooms', '1 (28 ounce) can whole peeled tomatoes with liquid, chopped', '1 (19 ounce) can kidney beans with liquid', '1 (11 ounce) can whole kernel corn, undrained', '1 tablespoon ground cumin', '1 1/2 teaspoons dried oregano', '1 1/2 teaspoons dried basil']",6.8g,4.48,390,Insanely Easy Vegetarian Chili Recipe - Allrecipes.com
36,220kcal,33.1g,"&#34;I love this chili. I hope you love it as much as me. I got it from my mom, who got it from dad, who got it from our friend Steve Y. For bean lovers, add extra beans.&#34;",5.9g,"['1/2 pound ground beef', '1 (15 ounce) can pinto beans, rinsed and drained', '1 (15 ounce) can kidney beans, rinsed and drained', '1/2 onion, cut into chunks', '1 tablespoon chili powder', '1 tablespoon grated Parmesan cheese', 'salt and ground black pepper to taste', '2 (46 fluid ounce) cans tomato juice, or as needed', '1 (4 ounce) packet saltine crackers, or as needed', '1 cup pickle juice, or to taste']",11.1g,4.00,1,Jessy M's Chili Recipe - Allrecipes.com
37,385kcal,34.6g,"&#34;This yummy chili will warm you on the coldest of days! Small Kids and my husband love it! Try this hearty chili topped with sour cream, green onions, or Cheese-Its&#174;.&#34;",15.4g,"['2 pounds ground turkey', '2 (15 ounce) cans dark red kidney beans, drained', '1 onion, finely diced', '1 (28 ounce) can tomato sauce', '1 (14.5 ounce) can fire roasted diced tomatoes', '2 (1.25 ounce) packages chili seasoning mix', '1/2 cup ketchup', '1/4 cup prepared yellow mustard', '1/4 cup brown sugar', '1 (8 ounce) package shredded Colby-Monterey Jack cheese']",30.8g,4.17,17,Slow Cooker Turkey Cheeseburger Chili Recipe - Allrecipes.com
38,259kcal,30.8g,&#34;This is a sweet spin on an American favorite.&#34;,8.5g,"['2 (14 ounce) cans tomato sauce', '2 (15 ounce) cans kidney beans, rinsed and drained', '2 tablespoons chili powder', '1 tablespoon white sugar', '1 pinch cayenne pepper (optional)', '1 pound ground beef', '2 tablespoons chili powder', '1 tablespoon white sugar', '1 pinch cayenne pepper (optional)', '1 teaspoon cooking oil', '1/2 red onion, chopped', '1 banana pepper, chopped', '1 apple - peeled, cored, and chopped', '1 peach - peeled, pitted, and chopped']",17.1g,4.57,8,Fruity Chili Recipe - Allrecipes.com
39,384kcal,33.9g,&#34;A quick and simple chili recipe that is based on my Scandinavian mother's version of chili.&#34;,13.5g,"['1 1/4 pounds ground turkey, (93% lean)', '1 large onion, chopped', '3 stalks celery, chopped', ""1 (16 ounce) can chili beans in mild sauce (such as Bush's Best&#174;)"", '1 (15 ounce) can tomato sauce', '1 (14.5 ounce) can diced tomatoes', '1 teaspoon chili powder', '1/2 teaspoon cayenne pepper', '1 bay leaf']",36.5g,4.00,1,Simple Scandinavian Turkey Chili Recipe - Allrecipes.com
40,324kcal,24g,"&#34;My family loves this recipe. Kid-friendly, great for sleepover nights. The key is to chop all veggies big so the flavors get incorporated but they're able to be picked out by the picky eater. Pair with honey cornbread and call 'come and get it!'&#34;",16.3g,"['1 tablespoon vegetable oil', '1/2 red onion, cut into large chunks', '1 cup chopped celery', '4 cloves garlic, coarsely chopped', '2 pounds ground beef', '2 (28 ounce) cans tomatoes, undrained and tomatoes chopped', '1 (8 ounce) can tomato sauce', '1 cup water', '2 tablespoons Worcestershire sauce', '1 tablespoon chili powder', '1 teaspoon garlic powder', '1 teaspoon dried oregano', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '2 (16 ounce) cans kidney beans, rinsed and drained']",21.7g,4.67,3,Big P's Classic Chili Recipe - Allrecipes.com
41,433kcal,39.8g,"&#34;You're not going to believe how awesome this chili tastes and how easy it is to make. I make batches and take it to work for lunch for the week. It's really filling and very healthy. You can substitute the chili beans with kidney beans if you wish, but be sure to drain them if you do. It's even better the next day, and if you omit the optional cheese, it's vegan-friendly!&#34;",20.4g,"['1 (28 ounce) can diced tomatoes with juice', '1 small onion, diced', '1 (15 ounce) can white beans, drained', '1 (15 ounce) can chili beans, with liquid', '1 (1.25 ounce) package reduced sodium taco seasoning mix', '1 (1 ounce) package ranch dressing mix', '1 (12 ounce) package vegetarian burger crumbles', '1 (8 ounce) package shredded Cheddar cheese (optional)']",29.6g,4.63,111,Unbelievably Easy and Delicious Vegetarian Chili Recipe - Allrecipes.com
